0,1,2,3,4,5,6,7,8,9
7.0475245,-5.551582,3.0603287,-4.685141,5.2104807,-0.51950437,5.13739,8.909752,-3.316084,-3.55101
6.5255322,-5.2197976,3.0037117,-4.2948737,4.8204665,-0.6403613,4.945275,8.381391,-3.1190197,-3.3909764
-0.72826666,-7.619997,-8.394123,-5.579725,4.784074,7.561598,-4.542263,1.0380834,4.146844,4.893289
7.355982,-5.109888,3.5363734,-4.6556087,5.177947,-0.99683475,5.1438093,8.932712,-3.6969512,-3.694294
6.8277307,-5.761041,2.766299,-4.742574,5.2295866,-0.2130057,5.0094066,8.821834,-3.0879815,-3.351088
-0.6563893,-8.291182,-9.181068,-6.2190022,5.263329,8.304913,-5.032444,1.1385586,4.465729,5.4018674
5.7791915,-3.9049225,3.481108,-3.4028983,4.075869,-1.4588938,4.5703645,7.415777,-3.0422447,-3.3310733
5.387603,-3.9086907,1.940118,-3.8846643,4.076568,-0.27360433,2.9693105,6.1899705,-2.5926554,-2.1086376
7.0545683,-5.4380646,3.178707,-4.61224,5.1133485,-0.6979868,5.2288632,8.901029,-3.3974774,-3.657468
6.9361143,-4.755996,3.739322,-4.1080384,4.7989607,-1.3020324,5.356142,8.7307005,-3.5639029,-3.830414
6.695078,-6.944624,-1.0594114,-6.7829638,6.0501246,3.0499613,1.5580635,7.0356164,-2.091542,-0.51815903
6.6405396,-5.8689666,2.484991,-4.803062,5.2617455,0.054206353,4.7645526,8.612281,-2.8883562,-3.149702
7.4745274,-3.8916488,6.3720803,-3.1562319,4.473876,-3.5309505,7.4604,10.149349,-4.704805,-5.609115
6.9975157,-5.3867884,3.2302685,-4.5087395,5.029801,-0.7685777,5.2728643,8.86699,-3.3689506,-3.6682587
7.3501616,-5.844537,3.3067245,-4.869518,5.4335413,-0.62425715,5.4820647,9.3909645,-3.4529312,-3.7797754
6.4669366,-4.258456,3.4081674,-3.954197,4.486036,-1.2238345,4.6021156,7.8718696,-3.3804953,-3.3626657
6.9490666,-7.2068005,-1.2104087,-7.1978073,6.3385825,3.1830733,1.4276135,7.2462964,-2.1739533,-0.569789
5.7729845,-3.8968294,2.6950636,-3.6661575,4.0820527,-0.852276,3.9892654,6.989302,-2.9508374,-2.9115796
6.6319294,-7.2581506,-1.7252007,-7.204123,6.2739096,3.62152,1.0468038,6.87454,-1.8923439,-0.06342059
7.2013574,-5.8798757,2.930458,-4.9124207,5.361527,-0.39562187,5.2430468,9.169456,-3.3103404,-3.605385
7.627999,-5.5276685,3.6480272,-4.8031425,5.427573,-1.0239938,5.596098,9.478837,-3.757452,-3.9124231
6.623238,-4.493151,3.854552,-3.790847,4.508762,-1.4887929,5.3795104,8.489783,-3.4964821,-3.8880956
6.8774457,-4.5110188,3.8652253,-3.9788637,4.6333814,-1.510811,5.38982,8.658561,-3.634881,-3.970185
7.241095,-5.1778083,3.6210043,-4.483829,5.0851436,-1.092398,5.420386,9.0474825,-3.6097305,-3.8606937
7.0490866,-4.8296466,3.7300928,-4.2346764,4.82588,-1.307829,5.417347,8.855601,-3.6504292,-3.9618914
-0.299309,-4.6084805,-5.0153823,-3.5055006,3.0101337,4.543695,-2.570908,0.84402364,2.3706176,2.8318443
6.7520404,-6.3496404,-0.14290628,-6.2017717,5.7077165,2.1777236,2.277566,7.252512,-2.4254127,-1.2382694
6.7839603,-4.6058865,3.7538848,-3.9834647,4.6044564,-1.3899367,5.316771,8.518781,-3.56691,-3.850946
7.2199793,-5.811251,3.1401255,-4.8191833,5.3617053,-0.50642806,5.3337183,9.198056,-3.3504295,-3.6406212
7.042238,-5.971839,2.7383215,-4.93175,5.4119067,-0.11500525,5.0514154,9.042289,-3.124405,-3.3810322
6.277595,-3.578721,3.9674418,-3.4244785,4.121129,-1.8796518,4.8253922,7.6944046,-3.5083234,-3.6575663
6.6305766,-4.357888,3.6808054,-3.958857,4.5771437,-1.3706762,4.9157944,8.200377,-3.49517,-3.632873
